"longitude","latitude","elevation","logElev","Xelevation","XlogElev","lcc_x","lcc_y"
-99.125,28.625,153.1,5.53378466755108,153.1,5.09436350962697,-111.625506529168,-27.8594639570341
-98.875,28.625,136.4,5.46552528553194,136.4,4.98634260152721,-111.379087843852,-27.8685741907366
-98.625,28.625,106,5.32787616878958,106,4.75359019110636,-111.132645028948,-27.8770064984593
-98.375,28.625,119.7,5.39226297939056,119.7,4.8652240913224,-110.886179949505,-27.8847608163876
-98.125,28.625,92.1,5.25801606977451,92.1,4.62595272517062,-110.63969447074,-27.8918370858378
-97.875,28.625,128.8,5.43284825950564,128.8,4.9330340480727,-110.393190458024,-27.8982352532574
-97.625,28.625,101,5.30330490805908,101,4.70953020131233,-110.146669776869,-27.903955270226
-97.375,28.625,51.1,5.01794186927869,51.1,4.11251186617755,-109.900134292912,-27.9089970934552
-97.125,28.625,29.2,4.8613615913485,29.2,3.66867674679642,-109.653585871903,-27.9133606847891
-96.875,28.625,16.6,4.75874927391639,16.6,3.28091121578765,-109.40702637969,-27.9170460112047
-82.625,28.625,0.7,4.61214579972452,0.7,2.37024374146786,-95.3954552099655,-27.0073664086955
-82.375,28.625,21.4,4.7990908786254,21.4,3.44680789291421,-95.1514420367308,-26.9718314101839
-82.125,28.625,21.2,4.79744207363521,21.2,3.44041809481544,-94.9075275426996,-26.9356252721294
-81.875,28.625,29.3,4.86213528577781,29.3,3.67122451887522,-94.6637135737863,-26.8987482685358
-81.625,28.625,19.8,4.78582368568135,19.8,3.39450839351136,-94.4200019751444,-26.8612006784834
-81.375,28.625,21.5,4.7999142627806,21.5,3.44998754583159,-94.1763945911529,-26.8229827861277
-81.125,28.625,16.4,4.75703253529734,16.4,3.27336401015227,-93.9328932654018,-26.7840948806971
-80.875,28.625,4.6,4.65014355163082,4.6,2.68102152871429,-93.6894998406788,-26.7445372564902
-100.375,28.875,277,5.93224518744801,277,5.65948221575962,-112.842553191063,-27.5233089528908
-100.125,28.875,209.8,5.73592692798277,209.8,5.39271804196952,-112.597054654346,-27.535768522854
-99.875,28.875,215.6,5.75447558897172,215.6,5.4187635196239,-112.351522770621,-27.5475526854689
-99.625,28.875,207.4,5.7281498311045,207.4,5.38173897468711,-112.105959398043,-27.5586613515545
-99.375,28.875,191.9,5.67641127786007,191.9,5.30777252531879,-111.860366395005,-27.5690944370419
-99.125,28.875,176.3,5.62148723192937,176.3,5.22735827760754,-111.614745620124,-27.5788518629747
-98.875,28.875,154.6,5.53969368612331,154.6,5.10351828824297,-111.369098932227,-27.58793355551
-98.625,28.875,143.7,5.49593796063116,143.7,5.03500265054455,-111.123428190337,-27.5963394459187
-98.375,28.875,111.5,5.35422499848633,111.5,4.7999142627806,-110.877735253661,-27.604069470586
-98.125,28.875,134.9,5.45915989166487,134.9,4.97604384932664,-110.63202198157,-27.6111235710121
-97.875,28.875,101.6,5.30628553619721,101.6,4.71492104994721,-110.386290233594,-27.6175016938124
-97.625,28.875,97.9,5.28776185260852,97.9,4.68120487226409,-110.140541869398,-27.6232037907181
-97.375,28.875,70.6,5.13932163505758,70.6,4.38949864951258,-109.894778748776,-27.6282298185765
-97.125,28.875,31.7,4.88052660874924,31.7,3.73050112880476,-109.649002731631,-27.6325797393511
-96.875,28.875,27.8,4.85046654194343,27.8,3.63230910262554,-109.403215677967,-27.6362535201224
-96.625,28.875,4.3,4.64727136200673,4.3,2.66025953726586,-109.157419447869,-27.6392511330876
-96.375,28.875,10.2,4.70229689671881,10.2,3.00568260440716,-108.911615901491,-27.6415725555612
-96.125,28.875,9.6,4.69683737451392,9.6,2.97552956623647,-108.665806899045,-27.6432177699749
-95.875,28.875,9.4,4.69501088998788,9.4,2.96527306606928,-108.419994300782,-27.6441867638779
-95.625,28.875,3,4.63472898822964,3,2.56494935746154,-108.174179966981,-27.6444795299371
-82.625,28.875,0.5,4.61015772749913,0.5,2.35137525716348,-95.4355409228942,-26.72942382449
-82.375,28.875,21.4,4.7990908786254,21.4,3.44680789291421,-95.1922922109253,-26.6940001524678
-82.125,28.875,13.9,4.73532087045314,13.9,3.17387845893747,-94.9491418690109,-26.6579074434949
